tweet_id,text,created_at,author_id
1836767751202844701,"The Public Utility Commission  @PUCTX will host a workshop in Houston, Texas on electric utilities’ preparation for, and response to recent severe storms, including the May 2024 derecho and Hurricane Beryl. All five PUCT Commissioners will attend and hear comments from the public… https://t.co/fnClGNhRxo https://t.co/2Q1YlYzdu4",,
1836767702385312063,Puerto Rico's infrastructure still recovering from Hurricane Maria 7 years after the Category 4 storm devastated the island https://t.co/ZhnZj7Jcr1,,
1836767696467505405,"#ww2 #battleofbritain #RAF #SPITFIRE #HURRICANE #Churchill 
#1940 https://t.co/xW6UJ17aoV https://t.co/kJrOGib5rG",,
1836767694005133753,"@warsap7797956 @MelissaF1711 @Hurricane_Stacy @Littleelvis40 @RockTheseTweets @CaptFan75 @RickTompkins @LesliePLynn @Br33zE74 @BerserkerBill @ItsMeHGB @miracles222 @cubfan_23 @MusicIsLife_74 @TonesDrop @pianoma51 @CateDailyBoom @fredstone_flint Morning, Steve!! https://t.co/Jk8MniGSb8",,
1836767570961060049,@Anne_Hale_ I went there right after a hurricane like two years ago and they had the beach blocked off because of erosion from it.  I'm pretty sure this is Daytona/Ponce Inlet.,,
1836767541005365508,"#BradPittIsAnAbuser never cared for the black Victims of Hurricane Katrina, instead he used their poverty against them  he silenced their voices with NDA's under false pretense &amp; took no responsibility to address their concerns of living in derelict houses which he sold them. https://t.co/ZN5hnC5Xik",,
1836767511787745690,"@Rational_Raven Yeah.. it’s called the Durham report on crossfire hurricane and the FACT Hillary paid an FCC fine for PURCHASING the CORNERSTONE Steele dossier of admitted lies..

so.. there’s that.",,
1836767450827833549,@SuePear85834959 And here comes the next hurricane born outta Cuba yet again,,
1836767404766232950,"Are you in need of legal assistance after Hurricane Debby? Disaster Legal Services has you covered with free legal assistance!

You can call 833-514-2940 between 9:30 a.m.-4:30 p.m. Monday-Friday or leave a message after hours.

https://t.co/37kUDWNdiz https://t.co/TbyL7w1VEt",,
1836767396394066313,@lanadelreybuzz there was a hurricane,,
1836767391914635703,"Livingston officials plan for high waters after Hurricane Francine

https://t.co/veoEKptIGu https://t.co/JirqXBbDd0",,
1836767386218999815,"これからも80年代ロックを宣伝できるように頑張ります！🤘🔥
セトリ
1. Rock You Like a Hurricane / Scorpions
2. She's Gone / Steelheart
3. Body Talk / RATT

次のライブは11/9(土)四谷アウトブレイクです。
#HRHM #80s #80年代 #ロック #メタル #ハードロック https://t.co/HCz4Nsssl1",,
